kilometraje,edad_motor_meses,horas_conduccion,temperatura_motor,falla_15_dias
265015,7,11.3,106.4,1
119734,33,2.1,91.3,0
34947,34,12.9,114.6,1
275629,82,5.3,100.4,1
170454,99,3.8,106.5,1
117408,29,10.8,89.2,0
221557,120,7.4,110.2,1
48212,55,1.2,80.6,0
178180,52,10.3,92.7,0
196527,117,13.2,104.4,1
146112,68,2.7,85.1,0
223113,72,2.1,109.7,1
42533,6,13.4,109.7,1
107565,66,8.4,93.6,0
183441,115,10.5,80.8,1
258362,15,9.8,81.6,0
198969,31,3.3,99.3,0
193927,112,13.2,90.9,1
146657,79,7.2,102.3,1
43130,67,8.5,90.5,0
111908,17,11.9,91.7,0
213041,59,10.9,84.5,0
212680,107,10.4,106.1,1
166235,59,10.2,97.4,0
143929,59,11.8,86.5,0
105156,19,12.8,107.6,1
203622,113,1.7,108.3,1
148605,101,2.8,90.7,0
189831,28,5.1,92.7,0
211182,94,8.8,89.4,1
187223,29,13.4,109.3,1
83139,32,2.0,105.1,0
116466,56,3.1,106.1,0
117993,105,10.3,98.5,0
267099,105,7.1,86.5,1
266274,32,6.1,95.1,0
114936,40,10.7,101.7,0
18017,92,11.5,85.5,0
186185,23,11.2,99.4,0
171786,73,11.2,100.9,1
264730,40,9.8,114.3,1
130627,23,11.7,108.4,1
298730,33,5.6,81.7,0
297661,117,12.7,86.0,1
199575,88,5.6,96.2,0
220778,82,5.4,107.4,1
165334,18,12.3,107.3,1
163627,62,9.6,89.6,0
150737,96,2.2,97.5,1
84507,65,8.4,95.6,0
142656,86,3.1,80.3,0
48181,108,8.7,88.3,0
106307,72,1.3,108.9,1
246149,12,13.3,106.4,1
153865,95,13.8,103.0,1
114974,67,8.2,85.5,0
270102,10,11.0,88.0,1
211079,62,7.8,81.8,1
28261,36,10.4,108.4,1
231359,48,7.4,83.1,0
211867,63,12.3,109.2,1
170232,49,6.2,98.1,0
224559,96,3.8,86.9,1
15449,68,5.2,83.6,0
27230,59,7.4,82.7,0
233792,113,10.8,91.4,1
258542,94,3.7,105.1,1
213757,90,8.7,106.9,1
80918,38,6.8,97.5,0
285227,42,10.4,104.6,1
293406,115,6.9,96.5,0
123348,18,6.6,81.5,0
220421,31,5.2,101.2,0
179390,31,1.8,101.2,0
145037,106,4.0,111.3,1
180237,76,7.2,84.4,1
72197,72,5.5,108.4,1
219188,43,2.0,107.8,1
241028,94,6.7,89.2,1
291049,35,1.6,90.1,0
37377,43,3.1,95.5,0
272182,86,4.8,114.7,1
48656,13,11.1,105.2,1
283772,55,3.9,84.8,0
288638,114,2.1,113.8,1
54095,23,9.9,112.6,0
44105,44,13.5,97.8,0
266307,39,4.3,83.8,0
158993,73,5.2,113.3,1
119072,107,10.6,112.4,1
76975,36,8.3,87.5,0
260825,45,8.4,114.9,1
130226,66,3.7,101.8,0
243521,101,6.9,86.2,0
179097,101,4.9,90.3,1
197181,46,8.6,106.4,1
241841,96,8.1,99.4,1
212665,22,12.6,81.6,0
166338,117,2.9,109.4,1
204297,13,12.6,101.5,0
62288,84,12.7,103.2,1
75209,14,5.4,110.2,1
206258,6,2.6,92.2,0
290478,81,10.8,80.5,1
295846,27,5.0,87.9,0
247901,86,5.4,89.2,0
25929,66,12.9,89.6,1
260347,40,12.0,103.3,1
73056,106,13.5,84.7,1
164191,8,5.5,106.0,1
128012,97,12.5,81.8,1
151824,49,7.9,99.5,0
223071,51,6.0,108.6,1
60685,63,8.7,110.5,1
194017,10,7.8,105.9,1
110920,49,1.0,111.7,0
275675,95,13.2,96.0,1
239268,43,5.1,89.4,0
215158,105,2.6,107.4,1
277203,31,8.8,102.5,1
186130,94,7.9,82.3,1
31867,46,1.6,84.8,0
18103,76,5.0,96.7,0
67984,113,8.4,103.5,1
56243,89,13.2,94.1,0
232879,79,8.4,102.5,1
163478,33,8.6,106.6,1
144518,113,5.4,98.3,0
30509,64,3.4,106.5,1
64068,19,8.0,100.9,0
30685,47,3.5,100.0,0
17849,15,9.6,91.4,0
127948,75,5.6,102.9,1
294485,48,3.6,95.2,0
149740,58,12.7,88.5,0
15000,6,4.5,89.1,0
187682,42,1.1,86.3,0
27332,39,3.0,109.3,1
158628,15,3.1,86.1,0
195433,49,3.2,83.1,0
134743,61,4.5,87.6,0
106803,40,4.8,96.5,0
128992,107,8.9,85.4,0
203598,45,11.3,87.5,1
228766,105,13.6,89.0,1
118142,43,11.2,101.3,0
101688,88,12.7,84.4,0
236357,89,11.0,107.1,1
255235,46,12.2,112.6,1
36134,29,11.4,103.4,1
201560,67,9.5,89.9,0
64080,34,1.3,88.3,0
90420,45,6.0,87.2,0
193750,94,4.8,96.3,0
186402,55,7.3,90.4,0
201060,120,6.3,93.0,1
106348,24,3.7,106.3,1
73955,47,9.1,109.3,0
125077,13,11.4,82.7,0
278330,21,7.3,114.0,1
43770,72,11.2,103.6,1
101507,70,6.2,83.3,0
65217,64,14.0,85.8,1
117290,82,12.1,90.6,1
167559,52,9.4,106.3,1
35455,49,2.9,81.7,0
177125,44,12.8,92.6,1
113306,19,8.3,99.3,0
116797,99,1.0,90.7,0
71153,87,10.7,112.5,1
263233,52,10.5,105.6,1
176541,74,13.1,83.3,1
295655,49,12.9,110.5,1
114571,71,1.8,82.3,0
140417,90,4.1,91.5,0
144168,8,7.3,96.8,0
286091,113,10.8,96.0,1
102539,105,8.1,93.1,0
244250,70,3.5,92.9,1
49135,15,5.8,82.6,0
216909,91,9.5,84.8,1
102212,91,5.7,94.8,0
90016,32,11.9,99.7,0
90793,54,4.6,108.9,1
238846,78,5.9,112.0,1
70394,92,7.0,101.2,0
127139,24,3.2,83.2,0
276706,11,1.6,84.3,0
153749,78,11.4,86.5,1
190822,102,5.7,80.2,1
24813,50,10.9,92.2,0
203970,80,10.4,89.7,1
99968,81,1.4,97.3,0
14541,27,8.0,97.4,0
32160,53,11.9,108.6,1
180546,116,12.7,90.7,1
236969,46,10.9,88.7,0
205788,93,13.1,113.9,1
46154,62,9.1,106.8,1
13443,67,5.5,95.0,0
190317,90,3.8,108.1,1
144866,76,12.8,107.2,1
270322,29,10.9,93.8,1
225820,110,2.6,100.2,1
28110,10,10.4,87.2,0
32692,51,4.4,89.1,0
253711,77,9.3,108.2,1
26511,56,2.8,106.3,1
45963,54,5.7,115.0,1
26030,18,5.7,101.5,0
281343,31,9.0,111.9,1
269094,90,3.6,108.4,1
287205,14,3.6,109.8,1
271515,118,9.4,97.4,1
116073,59,13.4,109.7,1
237779,16,3.5,107.8,1
102156,119,7.5,90.6,0
48199,72,7.6,92.9,0
151256,17,13.9,87.3,1
290526,111,1.4,110.1,1
88871,99,4.4,113.0,1
258306,58,2.8,99.6,0
64970,107,5.1,97.5,0
252036,78,4.9,111.0,1
104901,25,9.2,100.5,0
93541,80,3.3,113.8,1
147111,31,10.3,95.1,0
196129,33,12.6,96.4,0
200844,60,5.6,107.2,1
79570,105,8.7,96.1,0
186962,51,3.0,90.8,0
67918,84,3.7,87.4,0
211805,61,4.1,105.8,1
264766,37,9.9,111.3,1
89410,32,5.4,104.8,0
76343,45,3.1,106.0,0
217428,89,13.3,83.0,1
225711,94,8.4,102.4,1
109671,17,5.5,91.3,0
148493,91,5.9,85.1,0
113016,14,13.0,100.4,0
61183,50,12.8,114.4,1
142606,38,8.4,103.9,1
101831,92,4.1,99.8,0
35841,21,7.4,106.0,1
225633,19,10.6,106.1,1
85638,38,9.9,93.4,0
261473,37,8.8,97.0,0
108618,85,5.0,101.6,0
275420,56,6.9,106.1,1
220882,88,5.5,101.8,0
114747,16,9.1,110.9,0
82809,40,4.3,80.1,0
214707,59,5.9,97.9,0
162032,101,10.5,81.5,1
277045,15,3.0,97.0,0
106668,57,7.6,97.3,0
295647,89,6.8,96.9,0
265650,54,7.7,90.0,0
195405,27,5.6,86.0,0
271027,116,12.2,91.2,1
165937,100,2.5,103.2,1
26797,27,8.7,111.4,0
258076,81,2.7,91.7,1
44157,85,8.8,98.6,0
150854,88,4.6,103.2,1
185724,51,3.4,96.9,0
84217,29,2.0,99.5,0
110398,49,8.8,89.2,0
59813,69,3.3,107.0,1
273819,74,7.9,95.8,0
270716,75,6.7,108.6,1
136238,78,13.2,113.4,1
133142,18,1.5,92.2,0
190283,100,7.5,86.8,1
209870,49,11.9,105.4,1
290256,107,13.5,107.0,1
263603,86,2.1,100.4,1
122533,29,9.2,99.2,0
148962,24,11.5,104.2,1
261325,60,10.6,105.8,1
116510,32,7.3,107.9,0
75394,107,11.6,90.4,1
277339,84,3.9,102.7,1
155988,43,7.1,106.6,1
240343,73,9.7,103.3,1
292454,67,8.5,105.1,1
220446,41,1.3,89.0,0
168023,43,1.5,95.0,0
163573,83,12.0,86.8,1
31304,95,1.3,89.8,0
73883,8,13.6,94.5,0
47554,86,8.1,108.2,1
246092,38,9.9,84.8,0
133672,81,3.3,87.3,0
55527,76,2.4,102.4,1
19182,102,7.7,102.3,1
119774,103,13.3,100.4,1
299094,64,7.1,82.5,0
203343,27,4.6,110.4,1
57284,83,4.5,103.0,1
213830,56,9.9,92.1,0
218432,109,8.8,102.1,1
235978,118,2.7,81.3,0
77313,114,3.6,105.6,1
68151,24,5.3,98.5,0
237060,104,8.7,98.4,1
164390,42,5.5,107.3,1
297694,61,6.3,105.2,1
45521,17,4.0,105.5,0
83223,75,6.1,111.0,1
160504,8,9.8,105.5,1
155968,85,1.5,100.3,1
202101,17,7.3,102.4,1
96858,63,11.2,111.2,1
31966,105,13.9,82.7,1
215604,16,7.5,89.5,0
161767,43,10.8,92.3,0
198280,34,2.5,87.0,0
86323,46,8.1,106.5,0
145603,36,1.8,114.4,0
172934,81,13.9,91.0,1
52609,53,12.3,93.1,0
133918,47,7.2,89.9,0
129398,15,4.6,96.4,0
298274,28,2.2,94.3,0
299529,76,11.6,111.5,1
102407,17,4.0,110.1,1
132121,96,9.6,94.1,0
127172,120,10.6,99.7,0
89939,58,1.3,103.2,1
174269,8,10.8,107.2,1
110954,81,5.6,100.3,0
119692,48,10.0,85.6,0
94290,54,13.7,104.6,1
104162,79,7.1,106.3,1
244806,94,13.4,96.3,1
248614,39,8.1,108.3,1
93710,97,3.2,89.4,0
255732,108,1.4,102.6,1
218063,36,12.7,86.1,0
218068,39,8.9,86.5,0
41103,118,9.9,110.7,1
275847,17,11.8,90.8,0
218095,6,13.3,96.0,1
292325,79,3.2,104.6,1
149079,63,1.5,106.7,1
231452,19,5.8,103.2,1
295734,48,3.2,86.0,0
231822,36,9.6,103.7,1
12992,52,12.0,113.9,1
104897,44,10.5,86.5,0
120079,61,8.7,98.6,0
234482,97,4.6,102.0,1
128365,100,5.2,88.6,0
203877,99,1.2,92.1,1
223134,21,8.6,100.9,0
173460,105,10.5,99.2,1
191865,14,8.0,99.0,0
248368,29,12.8,102.0,0
181315,51,9.4,104.9,1
278126,118,8.8,91.0,1
106406,22,1.2,111.5,0
94876,60,3.5,104.3,1
110401,54,1.2,87.6,0
121487,109,9.8,88.3,0
45853,81,11.2,98.2,0
10177,67,10.4,106.7,1
133204,58,8.2,89.2,0
191944,90,4.8,103.2,1
126387,107,3.7,97.4,0
35642,43,3.5,94.8,0
294821,14,2.2,91.6,0
17087,71,13.3,107.1,1
139239,65,8.5,108.8,1
113413,63,13.3,95.2,1
229452,120,3.1,86.7,1
78324,69,8.0,90.6,0
177746,107,3.9,107.1,1
90118,17,7.0,101.0,0
60693,118,4.3,84.9,0
223510,85,2.2,86.0,1
125444,60,10.1,83.1,0
142062,42,12.2,106.2,1
196515,88,12.7,97.9,1
275341,108,4.5,82.3,1
125946,90,2.1,82.4,0
32432,79,5.9,100.7,0
62957,12,9.6,91.8,0
187172,87,3.0,100.7,1
72945,41,7.4,114.2,1
251498,14,5.0,92.4,0
69822,107,13.5,108.2,1
272474,80,6.6,93.3,1
241246,87,8.8,112.4,1
198918,117,4.6,84.8,0
95712,64,1.3,97.9,0
109471,95,8.8,103.1,1
66634,103,4.0,114.1,1
258460,116,3.3,105.1,1
90723,36,13.4,82.4,0
39529,8,4.1,113.5,1
164377,102,1.1,89.1,1
123281,111,5.0,109.0,1
51068,67,7.7,103.3,1
257099,101,8.3,107.1,1
186562,101,4.8,81.9,1
81289,42,1.9,111.9,1
253822,46,13.2,86.2,1
196582,29,13.0,93.8,1
94851,41,5.6,92.8,0
166192,22,6.1,112.4,1
119000,53,9.2,81.3,0
149293,38,13.2,109.0,1
173248,89,3.3,107.6,1
268482,79,2.3,101.7,1
224334,116,4.4,112.3,1
147110,110,10.8,97.9,0
22613,25,2.0,84.6,0
55920,90,5.7,108.6,1
243999,15,9.0,102.2,1
190956,102,8.2,109.9,1
163621,103,8.4,95.0,1
184712,10,7.4,102.0,1
40831,19,1.8,99.2,0
219950,33,10.9,99.1,0
274668,63,13.0,100.1,1
76420,75,11.5,108.8,1
39779,31,2.5,88.3,0
197532,11,5.7,102.8,1
47211,62,9.9,96.0,0
294787,93,7.8,82.9,0
121090,68,1.9,84.5,0
258881,61,12.3,82.7,1
51854,77,9.4,99.6,0
26206,10,11.2,92.6,0
72171,62,6.8,102.7,1
190062,17,13.9,82.4,1
230457,31,7.0,111.9,1
55817,89,2.1,86.7,0
138787,70,8.3,86.9,0
296112,113,7.0,109.9,1
170523,29,11.9,88.8,0
106087,26,8.8,95.3,0
143283,14,9.6,81.2,0
112686,11,3.2,88.6,0
120783,58,1.4,95.2,0
260102,119,1.5,114.9,1
132437,35,3.8,90.1,0
190226,101,12.8,89.6,1
227955,75,3.5,113.1,1
211396,40,9.3,102.3,1
206023,59,5.6,100.6,0
264597,94,2.7,89.6,0
16569,55,3.2,107.8,1
12166,82,6.7,113.1,1
136832,55,1.8,111.1,1
227011,19,13.0,105.7,1
102004,120,1.5,83.6,0
97035,63,4.6,108.8,1
145014,103,2.8,82.6,0
12275,41,5.8,86.3,0
173724,96,10.7,90.0,1
209703,109,8.7,111.2,1
43050,21,3.3,107.9,0
178297,78,13.3,90.9,1
284047,80,3.1,94.6,0
11568,16,9.1,82.1,0
125722,72,12.8,81.9,1
209667,22,13.8,99.3,0
130064,33,4.3,105.4,0
191810,89,12.0,85.6,1
130497,31,5.9,106.0,1
257130,10,12.1,81.2,0
263889,119,10.3,113.5,1
80743,64,4.9,110.3,1
147981,54,9.7,88.8,0
143088,103,13.0,101.9,0
88595,55,4.6,87.8,0
186004,87,11.7,91.5,1
56450,58,5.3,83.6,0
138019,104,5.3,88.6,0
282323,8,11.0,112.6,1
195324,32,6.8,106.5,1
211950,7,7.4,105.4,1
87247,108,4.4,87.0,0
152883,16,3.4,105.6,1
268143,97,13.8,83.3,1
136896,67,10.3,106.9,1
161221,48,11.7,97.6,0
109809,58,1.6,81.9,0
174049,79,7.1,83.2,0
245416,85,13.0,102.0,1
298366,44,8.2,106.9,1
164554,38,1.8,90.6,0
259226,43,4.8,104.9,1
298197,31,6.7,113.8,1
236844,84,3.2,90.0,1
170041,21,10.5,105.7,1
43665,82,2.2,98.2,0
181990,14,9.9,94.5,0
115877,104,9.3,106.3,1
136501,64,2.4,99.0,0
259829,17,11.1,107.5,1
83729,118,5.9,87.7,0
197447,108,12.1,88.5,1
215219,55,11.1,109.7,1
290258,41,5.5,113.7,1
172887,100,13.0,108.8,1
30238,60,12.9,93.9,0
18978,114,11.9,107.3,1
95274,21,11.6,100.5,0
172347,45,7.5,105.3,1
199176,51,13.9,105.7,1
284340,117,8.9,96.7,0
99315,109,6.3,84.9,0
65426,120,12.7,102.5,1
64849,26,8.9,80.7,0
261306,10,6.1,114.0,1
135791,102,6.2,97.4,0
276290,88,2.2,97.6,1
34907,118,11.3,111.6,1
49667,29,13.9,99.2,0
167888,17,9.7,83.4,0
144494,76,9.4,92.5,0
200147,106,4.2,106.6,1
149686,52,2.7,101.7,0
176358,37,6.7,114.5,1
261892,71,4.3,91.1,0
288310,51,2.0,100.3,0
10055,102,9.4,105.0,1
211617,52,2.1,110.0,1
233271,31,4.0,96.1,0
164185,40,12.6,93.5,0
114659,74,8.5,81.2,0
73383,40,5.2,97.8,0
70334,30,11.8,109.8,1
264867,33,4.6,111.9,1
72274,26,7.7,92.4,0
282465,87,2.1,90.4,0
19942,16,8.6,89.9,0
239657,15,7.8,100.6,0
282262,45,12.5,93.8,0
110544,102,5.2,80.1,0
84998,117,4.5,82.5,0
141910,44,1.6,94.7,0
122935,51,12.9,104.6,1
95597,93,9.1,90.6,0
153294,24,3.4,97.6,0
185671,89,5.7,112.9,1
279157,113,1.8,90.2,1
60291,66,7.6,103.5,1
134441,63,4.9,91.0,0
58154,7,2.9,83.1,0
59206,73,9.7,112.9,1
133287,14,5.7,104.6,1
189201,22,4.6,88.5,0
223582,7,6.8,108.4,1
109317,59,1.3,86.7,0
58945,80,8.9,108.7,1
31559,66,2.4,103.4,1
264408,74,2.4,114.0,1
196247,114,1.8,91.2,0
124868,94,2.0,82.2,0
89441,77,8.1,113.0,1
147442,82,6.5,90.7,0
295594,30,5.3,104.9,1
202050,77,5.8,112.2,1
82498,103,10.2,107.8,1
58211,82,7.5,107.3,1
182821,27,9.4,112.8,1
223203,64,13.5,108.0,1
107957,85,8.6,86.1,0
195623,117,1.8,109.0,1
173585,16,1.4,108.4,1
214094,59,9.4,102.7,1
205908,94,3.4,90.6,1
290855,78,8.4,94.5,0
290051,28,13.8,114.3,1
173356,6,1.8,90.3,0
210711,16,2.5,97.3,0
24577,104,9.7,101.9,0
33014,54,11.4,102.5,1
262069,102,1.5,89.2,1
62764,27,2.0,105.9,1
234562,35,9.4,112.5,1
119615,66,9.0,95.2,0
129821,70,9.9,104.9,1
66178,93,8.6,92.8,0
243019,117,13.9,85.9,1
281366,105,3.5,82.9,0
299387,85,9.5,91.9,1
101144,47,10.0,89.3,0
248927,25,3.3,97.6,0
22085,94,12.8,99.5,1
262665,55,7.9,108.3,1
48692,61,1.8,114.3,1
124020,79,12.5,94.5,0
298921,84,5.2,112.6,1
171954,110,13.2,87.7,1
218320,97,10.7,107.1,1
16222,40,10.4,84.8,0
122224,32,9.6,93.6,0
125257,86,10.7,85.2,1
249324,25,8.4,98.3,0
120614,40,6.7,104.3,0
270997,48,13.9,111.0,1
256842,114,10.5,106.6,1
187463,60,6.5,81.4,0
83099,98,8.4,110.0,1
47144,66,8.7,97.6,0
166311,26,12.4,102.3,1
10674,89,9.2,91.2,0
154269,115,2.4,98.2,0
279607,91,2.0,108.8,1
134157,20,6.2,86.7,0
133989,44,9.6,91.9,0
104895,90,7.5,90.6,0
290593,28,7.8,84.3,0
10280,93,2.3,110.4,1
188177,34,13.8,88.1,1
132572,40,12.3,89.7,0
91499,41,12.5,113.7,1
122904,35,3.6,111.9,1
27832,86,9.4,81.8,0
212135,21,8.3,94.8,0
90996,108,11.0,84.3,1
196861,32,8.0,96.9,0
158850,22,13.5,82.1,1
181805,106,11.1,89.5,1
290898,108,7.2,110.0,1
35820,96,10.4,90.5,1
27979,12,8.7,90.6,0
17942,30,1.7,98.0,0
38503,11,6.5,88.9,0
37089,10,8.2,93.5,0
163682,10,3.3,88.1,0
158213,61,5.2,88.8,0
41021,77,3.7,103.3,1
130846,37,6.7,91.7,0
137681,62,6.4,99.1,0
80037,44,2.4,81.3,0
254372,9,8.5,85.9,0
252680,118,13.9,85.2,1
226620,73,12.9,98.3,1
64356,32,10.7,83.9,0
115557,76,4.5,96.3,0
283504,87,7.9,112.7,1
52246,58,13.8,90.5,0
285436,59,5.9,84.8,0
10612,30,8.4,112.6,1
259833,56,3.1,95.5,0
237579,94,6.3,95.6,0
107224,57,10.3,100.1,0
204813,50,2.8,92.6,0
15106,9,6.3,110.9,1
280520,14,9.0,87.4,0
163721,16,11.7,92.6,1
256401,107,6.7,96.3,0
222988,46,10.9,100.4,0
129261,43,1.7,87.2,0
115356,112,10.1,110.2,1
240059,113,13.6,111.4,1
283852,52,12.1,86.6,1
217504,112,11.6,99.6,1
26767,100,8.3,93.5,0
223015,78,5.5,114.8,1
155342,24,6.8,105.0,1
287624,87,8.4,103.4,1
45082,6,1.7,89.0,0
24827,99,4.9,84.3,0
200848,94,7.1,114.8,1
13542,69,11.9,98.6,1
98489,8,3.5,91.6,0
93813,16,4.1,102.8,1
181984,91,10.9,89.0,1
257753,114,11.8,100.1,1
219334,22,9.2,111.7,1
165421,64,12.3,110.5,1
176354,57,13.6,80.2,1
132260,116,9.0,83.7,0
156624,103,6.0,113.3,1
75274,28,8.9,95.0,0
127856,80,6.1,97.9,0
87315,57,2.8,82.9,0
155903,8,12.7,104.8,1
55729,110,3.3,108.4,1
47500,77,5.7,102.0,0
110146,86,10.4,107.2,1
28385,76,6.9,114.8,1
60574,75,1.8,105.0,1
63281,10,4.6,95.2,0
253020,68,4.6,106.2,1
17717,100,11.1,93.8,0
196498,70,3.8,101.7,0
293968,91,9.6,114.0,1
98533,119,1.2,96.7,0
273283,23,13.4,108.1,1
287655,83,9.8,107.5,1
291050,97,13.9,98.2,1
211130,62,11.6,107.6,1
57894,78,4.0,86.1,0
164229,114,10.4,97.7,1
232087,115,11.0,106.8,1
261061,50,4.0,92.8,0
212382,72,6.1,94.1,0
92813,73,5.1,91.9,0
32771,41,6.9,82.6,0
123230,101,11.1,106.1,1
218163,39,1.6,92.6,0
112338,25,13.2,98.3,0
229062,28,1.4,94.3,0
143900,17,9.7,90.2,0
255725,87,7.4,82.7,0
119577,32,10.5,91.2,0
141475,77,10.4,80.9,1
83082,112,8.7,97.0,0
205587,93,5.8,91.4,0
253409,32,3.0,110.2,1
22982,23,6.6,82.4,0
111347,54,3.0,80.5,0
261707,54,13.7,87.1,0
219808,120,2.5,83.1,1
267596,114,9.2,97.9,0
103417,108,5.5,89.2,0
95159,36,10.4,82.4,0
159446,106,10.6,107.6,1
65745,78,5.6,93.5,0
214018,56,7.0,97.5,0
220471,77,7.9,90.9,0
26386,55,4.1,94.4,0
216698,58,9.5,82.6,0
281728,102,4.8,82.4,1
244668,43,3.9,103.8,1
246349,50,10.5,87.8,0
181226,99,4.0,82.7,0
14104,79,4.8,94.8,0
262623,120,9.7,88.0,0
228682,100,13.8,84.5,1
298643,85,10.9,94.8,1
243674,26,6.9,85.6,0
14465,17,3.2,102.2,1
154145,38,5.7,110.9,1
17263,78,1.3,106.8,1
